1011;37
1002;44
1003;96
1004;73
1005;62
1006;12
1007;99
1008;63
1009;11
1010;42
1011;33
1011;97
1011;6
1014;51
1015;25
1016;66
1017;74
1018;15
1019;88
1020;8
1021;1
1022;84
1023;83
1024;3
1025;3
1026;66
1027;58
1028;36
1029;35
1030;91
1031;30
1032;5
1033;94
1034;15
1035;74
1036;87
1037;31
1038;18
1039;35
1040;39
1041;31
1001;78
1001;77
1001;59
1001;15
1001;20
1001;28
1048;43
1049;9
1050;24
1051;78
1052;77
1053;3
1054;73
1055;41
1056;84
1052;35
1009;100
1009;72
1009;1
1009;71
1009;35
1009;1
1009;33
1065;66
1066;11
1005;31
1068;61
1069;65
1070;85
1071;47
1072;93
1073;78
1074;12
1075;15
1076;91
1077;72
1078;8
1070;88
1070;34
1070;87
1070;4
1083;92
1005;78
1005;42
1005;13
1005;46
1005;67
1005;18
1005;28
1070;47
1070;23
1093;24
1094;77
1095;20
1011;88
1011;16
1011;66
1011;35
1005;59
